	param_00	param_01	param_02	param_03	param_04	param_05	param_06	param_07	param_08	param_09	param_10	param_11	param_12	param_13	param_14	param_15	param_16	param_17	param_18	param_19
001233.txt	400	2.9699999999999998	300.04	400	400	300.54	1.96	1.16	300.02000000000004	30.49	23.13	400	12.63	3.0200000000000005	300.03999999999996	49.6	2.92	300.02	300.02	129.43
001234.txt	300.01	27.92	300.03000000000003	400	300.02	300.01	56.46	300.08000000000004	300.03000000000003	300.02	37.78	400	400	300.05999999999995	300.01000000000005	300.04	15.200000000000001	300.02	300.01	300.02
001235.txt	400	4.17	300.03	400	400	300.01	0.53	0.8500000000000001	300.03000000000003	3.9800000000000004	24.05	400	9.379999999999999	400	400	0.16999999999999993	2.16	300.02	300.04	0.29000000000000004
001236.txt	300.01000000000005	0.27	300.02000000000004	400	400	300.28	0.6199999999999999	1.04	300.03	2.6399999999999997	20.57	400	6.39	3.5600000000000005	39.18000000000001	0.17999999999999994	3.8199999999999994	300.02	300.03999999999996	0.2599999999999998
001237.txt	400	2.3499999999999996	300.02	400	300.01	300.06	1.9699999999999998	0.9599999999999997	35.47	3.92	16.73	11.09	10.3	300.02	29.669999999999998	11.08	0.10999999999999988	300.01000000000005	300.02	0.6300000000000001
001238.txt	300.02	0.33000000000000007	300.02000000000004	400	300.01	300.08000000000004	2.0	0.9300000000000002	300.03000000000003	3.3200000000000003	18.090000000000003	5.510000000000001	8.329999999999998	3.08	55.36	4.57	0.1100000000000001	300.02	300.01	0.32000000000000006
001239.txt	400	7.699999999999999	300.02000000000004	400	300.02000000000004	300.04999999999995	0.81	0.6199999999999999	300.03000000000003	2.41	12.809999999999999	5.2	8.52	2.38	29.009999999999998	0.1299999999999999	2.41	300.02	300.02000000000004	0.24
001240.txt	400	7.4	300.03	400	300.02	300.15000000000003	1.05	1.19	300.03000000000003	132.4	26.459999999999997	400	400	300.03000000000003	400	300.01	2.6899999999999995	300.03	300.02	0.6599999999999999
001241.txt	400	3.66	300.03	400	300.02	300.11	21.37	1.36	300.02000000000004	113.49	40.96	400	400	300.02000000000004	400	120.86	1.52	300.01	300.03000000000003	300.02
001242.txt	400	3.59	300.03000000000003	400	300.03	300.21000000000004	3.8100000000000005	13.81	300.03	11.98	33.470000000000006	400	12.82	400	400	9.41	4.489999999999999	300.01000000000005	300.02	300.02
001243.txt	400	2.45	300.02	400	400	300.01	0.3500000000000001	0.69	7.32	3.29	15.3	400	11.21	3.15	38.059999999999995	0.10999999999999988	0.1100000000000001	300.02000000000004	300.02	0.24
001244.txt	300.02	0.11999999999999988	300.02	400	400	300.03000000000003	0.6000000000000001	0.72	75.04	6.37	17.900000000000002	8.08	10.020000000000001	7.2299999999999995	8.649999999999999	0.13000000000000012	2.26	300.03	300.03000000000003	0.22999999999999998
001245.txt	400	4.64	300.03	400	300.02	300.01	1.04	63.61000000000001	300.02	3.73	24.38	400	10.65	5.66	400	103.11	4.6	300.02	300.05	300.03
001246.txt	400	2.4000000000000004	300.02	400	300.02	300.01000000000005	0.9400000000000002	0.8799999999999999	300.01	3.26	18.63	400	400	400	53.77	400	2.25	300.02000000000004	300.02	300.02
001247.txt	400	8.48	300.04	400	300.06	300.01	1.2700000000000002	1.1900000000000002	300.04	4.26	24.240000000000002	5.24	10.0	3.3000000000000003	400	12.559999999999999	4.930000000000001	300.02000000000004	300.02	131.54
