	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.16195.cnf	0.1	0.1	0.04	0.06	0.12	0.2	0.08	0.24	0.34	0.02	0.08	0.44	0.02	0.04	0.08	0.08	0.08	0.1	0.5	0.86
SWGCP_only_5000/SWlin2006.16196.cnf	0.1	0.3	0.06	0.06	0.16	0.16	0.06	0.14	0.2	0.18	0.08	0.22	0.32	0.22	0.04	0.22	0.1	0.08	0.36	0.46
SWGCP_only_5000/SWlin2006.16197.cnf	0.24	0.56	0.08	0.12	0.4	0.4	0.1	0.32	0.52	0.4	0.12	0.52	0.9	0.48	0.12	0.5	0.26	0.1	1.02	1.56
SWGCP_only_5000/SWlin2006.16198.cnf	0.26	0.48	0.08	0.12	0.36	0.38	0.12	0.34	0.54	0.4	0.12	0.56	0.82	0.08	0.08	0.16	0.3	0.1	0.54	1.66
SWGCP_only_5000/SWlin2006.16199.cnf	0.24	0.48	0.1	0.08	0.34	0.34	0.1	0.34	0.54	0.34	0.12	0.14	0.8	0.42	0.1	0.44	0.22	0.1	0.74	1.42
SWGCP_only_5000/SWlin2006.16200.cnf	0.22	0.4	0.08	0.08	0.28	0.32	0.1	0.3	0.4	0.36	0.1	0.46	0.56	0.34	0.1	0.38	0.26	0.1	0.62	1.3
SWGCP_only_5000/SWlin2006.16201.cnf	0.28	0.38	0.08	0.1	0.34	0.32	0.1	0.34	0.38	0.34	0.12	0.58	0.1	0.48	0.08	0.5	0.28	0.1	0.9	1.36
SWGCP_only_5000/SWlin2006.16202.cnf	0.3	0.46	0.12	0.12	0.48	0.44	0.14	0.34	0.6	0.36	0.14	0.5	0.6	0.52	0.1	0.5	0.32	0.12	1.04	1.92
SWGCP_only_5000/SWlin2006.16203.cnf	0.14	0.22	0.08	0.1	0.38	0.16	0.1	0.36	0.22	0.16	0.1	0.6	0.86	0.46	0.1	0.3	0.12	0.1	0.22	1.36
SWGCP_only_5000/SWlin2006.16204.cnf	0.18	0.34	0.04	0.08	0.3	0.24	0.1	0.24	0.28	0.28	0.08	0.42	0.36	0.28	0.08	0.32	0.18	0.08	0.52	0.98
SWGCP_only_5000/SWlin2006.16205.cnf	0.2	0.4	0.08	0.08	0.32	0.3	0.08	0.24	0.38	0.36	0.12	0.46	0.58	0.38	0.08	0.42	0.22	0.12	0.68	1.16
